Indicator,IndicatorCode,IndicatorRaw,Measure,Source,Group
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",,,
Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,Merchandise imports by the reporting economy (current US$),,,
Merchandise imports from developing economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,Merchandise imports from developing economies within region (% of total merchandise imports),,,
Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,Import value index (2000 = 100),,,
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,"Computer, communications and other services (% of commercial service imports)",,,
Commercial service imports (current US$),TM.VAL.SERV.CD.WT,Commercial service imports (current US$),,,
Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,Transport services (% of commercial service imports),,,
Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT,Travel services (% of commercial service imports),,,
Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,Net barter terms of trade index (2000 = 100),,,
Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,Export volume index (2000 = 100),,,
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Agricultural raw materials exports (% of merchandise exports),,,
Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,Food exports (% of merchandise exports),,,
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Fuel exports (% of merchandise exports),,,
ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,ICT goods exports (% of total goods exports),,,
Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,Insurance and financial services (% of commercial service exports),,,
Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,Manufactures exports (% of merchandise exports),,,
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Ores and metals exports (% of merchandise exports),,,
Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,Merchandise exports to economies in the Arab World (% of total merchandise exports),,,
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Merchandise exports (current US$),,,
Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,Merchandise exports to high-income economies (% of total merchandise exports),,,
Merchandise exports to developing economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,Merchandise exports to developing economies outside region (% of total merchandise exports),,,
Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports),,,
Merchandise exports to developing economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,Merchandise exports to developing economies in Europe & Central Asia (% of total merchandise exports),,,
Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports),,,
Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports),,,
Merchandise exports to developing economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,Merchandise exports to developing economies in South Asia (% of total merchandise exports),,,
Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports),,,
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",,,
Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,Merchandise exports by the reporting economy (current US$),,,
Merchandise exports to developing economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,Merchandise exports to developing economies within region (% of total merchandise exports),,,
Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,Export value index (2000 = 100),,,
"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,"Computer, communications and other services (% of commercial service exports)",,,
Commercial service exports (current US$),TX.VAL.SERV.CD.WT,Commercial service exports (current US$),,,
High-technology exports (current US$),TX.VAL.TECH.CD,High-technology exports (current US$),,,
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),,,
Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,Transport services (% of commercial service exports),,,
Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,Travel services (% of commercial service exports),,,
Voice and Accountability,VA.EST,Voice and Accountability: Estimate,,WDI,WGI
Voice and Accountability: NumSrc,VA.NO.SRC,Voice and Accountability: Number of Sources,,WDI,WGI
Voice and Accountability: Percentile,VA.PER.RNK,Voice and Accountability: Percentile Rank,,WDI,WGI
Voice and Accountability: StdErr,VA.STD.ERR,Voice and Accountability: Standard Error,,WDI,WGI
Battle-related deaths (number of people),VC.BTL.DETH,Battle-related deaths (number of people),,,
"Internally displaced persons (number, high estimate)",VC.IDP.TOTL.HE,"Internally displaced persons (number, high estimate)",,,
"Internally displaced persons (number, low estimate)",VC.IDP.TOTL.LE,"Internally displaced persons (number, low estimate)",,,
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Intentional homicides (per 100,000 people)",,,
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,"Presence of peace keepers (number of troops, police, and military observers in mandate)",,,
5 Year GDP Growth Rate (%),,,,,
"Accessing Industrial Land: Access to land information index (0 = min, 100 = max)",,,,,
"Accessing Industrial Land: Availability of land information index (0 = min, 100 = max)",,,,,
"Accessing Industrial Land: Strength of lease rights index (0 = min, 100 = max)",,,,,
"Accessing Industrial Land: Strength of ownership rights index (0 = min, 1= max)",,,,,
Accessing Industrial Land: Time to lease private land (days),,,,,
Accessing Industrial Land: Time to lease public land (days),,,,,
"Adjusted net enrollment rate, primary (% of primary school age children)",,,,,
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population  (%, based on 2005 PPP)",,,,,
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%, based on 2005 PPP)",,,,,
"Arbitrating Commercial Disputes: Ease of process index (0 = min, 100 = max)",,,,,
"Arbitrating Commercial Disputes: Extent of judicial assistance index (0 = min, 100 = max)",,,,,
"Arbitrating Commercial Disputes: Strength of laws index (0 = min, 100 = max)",,,,,
Business Freedom,,,,,
Business Freedom (change),,,,,
"CO2 emissions from electricity and heat production, total (million metric tons)",,,,,
CO2 emissions from gaseous fuel consumption (% of total),,,,,
CO2 emissions from gaseous fuel consumption (kt),,,,,
CO2 emissions from liquid fuel consumption (% of total),,,,,
CO2 emissions from liquid fuel consumption (kt),,,,,
CO2 emissions from manufacturing industries and construction (million metric tons),,,,,
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (million metric tons)",,,,,
CO2 emissions from residential buildings and commercial and public services (million metric tons),,,,,
CO2 emissions from solid fuel consumption (kt),,,,,
CO2 emissions from transport (million metric tons),,,,,
Combustible renewables and waste (metric tons of oil equivalent),,,,,
Corporate Tax Rate (%),,,,,
CPI score,,,,,
CPI score (rank),,,,,
CPI standard error,,,,,
CPI surveys used,,,,,
"Crime: If the establishment pays for security, average security costs (% of annual sales)",,,,,
"Crime: If there were losses, average losses due to theft and vandalism (% of annual sales)",,,,,
Crime: Losses due to theft and vandalism against the firm (% of annual sales),,,,,
Crime: Percent of firms experiencing losses due to theft and vandalism,,,,,
"Crime: Percent of firms identifying crime, theft and disorder as a major constraint              ",,,,,
Crime: Percent of firms paying for security,,,,,
Crime: Products shipped to supply domestic markets that were lost due to theft (% of product value)*,,,,,
Crime: Security costs (% of annual sales),,,,,
Current account balance (percent of GDP),,,,,
"Current account balance (U.S. dollars, billions)",,,,,
Ease of Doing Business: DTF,,,,,
Ease of Doing Business: DTF (without electricity),,,,,
Ease of Doing Business: Rank,,,,,
Ease of Doing Business: Reforms since DB2006,,,,,
Economic Freedom,,,,,
Economic Freedom (change),,,,,
Economic Freedom (rank),,,,,
Economic Freedom (regional rank),,,,,
Electric power consumption (kWh),,,,,
Electric power transmission and distribution losses (kWh),,,,,
Electricity production (kWh),,,,,
Electricity production from coal sources (kWh),,,,,
Electricity production from hydroelectric sources (kWh),,,,,
Electricity production from natural gas sources (kWh),,,,,
Electricity production from nuclear sources (kWh),,,,,
Electricity production from oil sources (kWh),,,,,
Electricity production from renewable sources (kWh),,,,,
"Employees, agriculture, female (% of female employment)",,,,,
"Employees, agriculture, male (% of male employment)",,,,,
"Employees, industry, female (% of female employment)",,,,,
"Employees, industry, male (% of male employment)",,,,,
"Employees, services, female (% of female employment)",,,,,
"Employees, services, male (% of male employment)",,,,,
"Employment (persons, millions)",,,,,
Energy production (kt of oil equivalent),,,,,
Energy use (kt of oil equivalent),,,,,
"Expenditure per student, primary (% of GDP per capita)",,,,,
"Expenditure per student, secondary (% of GDP per capita)",,,,,
"Expenditure per student, tertiary (% of GDP per capita)",,,,,
FDI Inflow (Millions),,,,,
Finance: Percent of firms identifying access to finance as a major constraint,,,,,
Finance: Percent of firms not needing a loan,,,,,
Finance: Percent of firms using banks to finance investments,,,,,
Finance: Percent of firms using banks to finance working capital,,,,,
Finance: Percent of firms whose recent loan application was rejected,,,,,
Finance: Percent of firms with a bank loan/line of credit,,,,,
Finance: Percent of firms with a checking or savings account,,,,,
Finance: Proportion of investments financed by banks (%),,,,,
Finance: Proportion of investments financed by equity or stock sales (%),,,,,
Finance: Proportion of investments financed by supplier credit (%),,,,,
Finance: Proportion of investments financed internally (%),,,,,
Finance: Proportion of loans requiring collateral (%),,,,,
Finance: Proportion of working capital financed  by supplier credit (%),,,,,
Finance: Proportion of working capital financed by banks (%),,,,,
Finance: Value of collateral needed for a loan (% of the loan amount),,,,,
Financial Freedom,,,,,
Financial Freedom (change),,,,,
Firm characteristics: Age of the establishment (years),,,,,
Firm characteristics: Percent of firms with legal status of Limited Partnership,,,,,
Firm characteristics: Percent of firms with legal status of Partnership,,,,,
Firm characteristics: Percent of firms with legal status of privately held Limited Liability Company ,,,,,
Firm characteristics: Percent of firms with legal status of publicly listed company,,,,,
